,textname,word,tfidf_score
0,Bush_2003,saddam hussein,0.6833066752063207
1,Madison_1815,sum million,0.5892575052809722
2,Clinton_1994,health care,0.5709768066137819
3,Truman_1953,free world,0.5701145931746477
4,Madison_1813,prisoner war,0.5663789468998479
5,Truman_1951,free nation,0.5409580605590016
6,Eisenhower_1960,free world,0.5350151364180409
7,Bush_2008,must trust,0.5318232012826074
8,Johnson_1966,south vietnam,0.5302019719129464
9,Biden_2021,job plan,0.5283408512787341
10,Carter_1980,soviet union,0.5241906241503709
11,Roosevelt_1942,year shall,0.5219859808928266
12,Clinton_1999,21st century,0.5053638212177857
13,Clinton_1995,new covenant,0.5039151170186552
14,Roosevelt_1944,national service,0.5019441747740495
15,Roosevelt_1938,purchasing power,0.5008522653630407
16,Clinton_1996,challenge congress,0.5000615965842161
17,Truman_1947,labor management,0.47979806512171225
18,Truman_1946,million dollar,0.4668389235530726
19,Grant_1870,san domingo,0.46253440212322217
20,Bush_2007,al qaeda,0.456074450577332
21,Bush_2005,social security,0.453370594077823
22,Trump_2020,thank much,0.4529143439995715
23,Nixon_1971,great goal,0.440587201368903
24,Roosevelt_1943,time greater,0.4401079109093412
25,Obama_2009,health care,0.43393809986068876
26,Hoover_1930,construction work,0.42898702932718247
27,Harrison_1892,per cent,0.42792644979944344
28,Eisenhower_1961,eight year,0.40954023513454463
29,Bush_2008,al qaeda,0.4028281675131126
30,Bush_2001,social security,0.4019677163163559
31,Clinton_1993,health care,0.39792659702026956
32,Roosevelt_1939,billion dollar,0.39325687261141795
33,Johnson_1865,general government,0.39280833697649303
34,Roosevelt_1943,united nation,0.3892416602095011
35,Wilson_1917,austria hungary,0.3882973949685015
36,Biden_2022,audience member,0.3872987321765663
37,Trump_2019,thank much,0.38673013567048525
38,Clinton_1998,21st century,0.38436750799010483
39,Monroe_1819,catholic majesty,0.3835230186979686
40,Cleveland_1895,united state note,0.38239839132132397
41,Cleveland_1895,state note,0.38239839132132397
42,Clinton_1999,social security,0.38203893210976747
43,Nixon_1971,let u,0.3785352354640443
44,Roosevelt_1904,forest reserve,0.37373731207948696
45,Buren_1839,public money,0.37210861170871534
46,Biden_2023,finish job,0.36982300511020455
47,Eisenhower_1957,free world,0.36801722730856595
48,Roosevelt_1942,united nation,0.36702951734605527
49,Trump_2019,audience member,0.36619764475748695
50,McKinley_1900,military governor,0.35762819734123397
51,Wilson_1916,commerce commission,0.357531601425941
52,Wilson_1916,interstate commerce commission,0.357531601425941
53,Hayes_1877,legal tender,0.35369048413207854
54,Madison_1816,sum million,0.35263406413236265
55,Roosevelt_1905,santo domingo,0.35062032473632443
56,Cleveland_1895,gold reserve,0.34541839142977987
57,Buren_1838,circuit court,0.3435063354085387
58,Truman_1953,free nation,0.3433688664144178
59,Johnson_1868,per cent,0.3431037600395087
60,Roosevelt_1939,national income,0.3408541968919024
61,Truman_1946,fiscal year,0.3398304509369231
62,Bush_2007,health insurance,0.3396126649951737
63,Wilson_1919,capital labor,0.3366926279049294
64,Trump_2019,u u,0.33499127924732025
65,Eisenhower_1958,security peace,0.33470542680758
66,Jefferson_1805,sum million,0.3342048668131337
67,Hayes_1877,commercial value,0.3324752788843771
68,Eisenhower_1961,past eight,0.32986191612150245
69,Eisenhower_1961,past eight year,0.32986191612150245
70,Cleveland_1887,tariff law,0.32958141078010655
71,Monroe_1823,post master,0.3276604964461639
72,Wilson_1916,interstate commerce,0.32457054220716697
73,Nixon_1974,five year ago,0.3226227386257286
74,Obama_2010,clean energy,0.3205395067903311
75,Polk_1846,mexican government,0.31967210304100985
76,Bush_2001,tax relief,0.31879718532376544
77,Hoover_1932,finance corporation,0.3181348978821245
78,Roosevelt_1901,wage worker,0.3180958731992085
79,Jackson_1835,french government,0.3155652796553899
80,Clinton_1998,child care,0.3122370121236503
81,Hoover_1931,federal reserve,0.3115970880815688
82,Obama_2012,clean energy,0.3114386167016067
83,Roosevelt_1944,standard living,0.3113326145151192
84,Truman_1946,billion dollar,0.31113711820330964
85,Truman_1946,dollar fiscal,0.30976904950336315
86,Truman_1946,dollar fiscal year,0.30976904950336315
87,Bush_2002,september 11th,0.3084627472127707
88,Roosevelt_1907,national government,0.30803099886573065
89,Biden_2021,american job,0.30656819002968033
90,Roosevelt_1943,first world,0.30505397203975204
91,Adams_1797,article treaty,0.30456100549373527
92,Ford_1975,million barrel,0.30420639367861474
93,Adams_1800,gentleman house,0.3016003986312387
94,Adams_1800,gentleman house representative,0.3016003986312387
95,Adams_1826,discriminating duty,0.3014015249363084
96,Hoover_1930,per cent,0.30121124555858253
97,Carter_1981,past four year,0.29926640195550885
98,Hayes_1877,silver coinage,0.2992277509959394
99,Bush_2003,al qaida,0.2975431487941889
100,Johnson_1966,people south,0.2969210580929547
101,Roosevelt_1937,form government,0.29562426681590454
102,Obama_2010,small business,0.2941735541446999
103,Ford_1975,growth federal,0.29415106988284706
104,Washington_1790,co operation,0.29366136696999456
105,Reagan_1986,meet commitment,0.29241540810795774
106,Adams_1799,gentleman house representative,0.29146241478443247
107,Adams_1799,gentleman house,0.29146241478443247
108,Nixon_1971,state locality,0.28742588125883217
109,Jefferson_1805,sea men,0.28619530216159456
110,Taft_1911,anti trust,0.2856936952801296
111,Buchanan_1860,specific duty,0.2845178549890134
112,Buren_1837,public land,0.28150279603916994
113,Wilson_1916,eight hour,0.2812982682308925
114,Wilson_1918,million acre,0.2807321985493928
115,Wilson_1918,industry country,0.2807321985493928
116,McKinley_1898,puerto rico,0.2805084820596017
117,Nixon_1973,working together,0.280271083338046
118,Madison_1812,order council,0.2789522662495354
119,Reagan_1984,great goal,0.2783771907020189
120,Eisenhower_1958,ballistic missile,0.2781365282721072
121,Jackson_1836,deposit bank,0.27798067854674446
122,Wilson_1916,hour day,0.2756273552195863
123,Reagan_1988,let u,0.2752930210811273
124,Carter_1981,past four,0.2750185723151747
125,Bush_2002,good job,0.27459380430964797
126,Washington_1791,debt united state,0.2744611897380033
127,Clinton_2000,tonight propose,0.2743816191400259
128,Truman_1947,atomic energy,0.2741703229266927
129,Monroe_1819,minister united,0.2725364401444699
130,Monroe_1819,minister united state,0.2725364401444699
131,Jackson_1835,bank united,0.2723602356782759
132,Jackson_1835,bank united state,0.2723602356782759
133,McKinley_1897,gold reserve,0.2721386927425033
134,Roosevelt_1939,good faith,0.2713829892263802
135,Bush_1991,persian gulf,0.27084623168575545
136,Eisenhower_1958,economic aid,0.27066185423314537
137,Truman_1950,better life,0.27062552689875047
138,Carter_1981,four year,0.27046572757816756
139,Washington_1791,debt united,0.26923295874308667
140,Cleveland_1896,fiscal year,0.2691392853302426
141,Cleveland_1886,fiscal year,0.2687529729374261
142,Roosevelt_1907,interstate commerce,0.26860902640260426
143,Nixon_1973,higher tax,0.2663557140567477
144,Adams_1827,january 1st,0.26542256072034515
145,Roosevelt_1936,good neighbor,0.26536956768313597
146,Harding_1921,merchant marine,0.26386173434939764
147,Buren_1838,public money,0.2636337960690489
148,Buchanan_1859,fiscal year,0.26298182063639514
149,Trump_2020,audience member,0.2625722230899908
150,Jefferson_1808,minister london,0.2607398087273087
151,Roosevelt_1908,great corporation,0.26004169407047395
152,Roosevelt_1936,world affair,0.26001977387301645
153,Harding_1921,executive branch government,0.25972043769260794
154,Roosevelt_1940,trade agreement,0.25967301576165347
155,Pierce_1856,new granada,0.25927384807030474
156,Roosevelt_1935,recovery act,0.2589398074535621
157,Biden_2022,rescue plan,0.25819915478437755
158,Truman_1952,free nation,0.25714257980243316
159,Trump_2018,north korea,0.257108616202795
160,Bush_1990,new world,0.2570572015393438
161,Eisenhower_1958,long range,0.25678368383978506
162,Harding_1921,executive branch,0.25624419960766487
163,Pierce_1856,northern state,0.256064162082833
164,Washington_1794,constitution united,0.25594465284137696
165,Washington_1794,constitution united state,0.25594465284137696
166,Roosevelt_1940,look ahead,0.2548498505141711
167,Cleveland_1895,note treasury,0.2545726361450581
168,Buren_1840,federal government,0.25453655614487636
169,Clinton_1993,let say,0.25438932786986934
170,Coolidge_1926,wage earner,0.25436300086097513
171,Nixon_1971,open door,0.2541594588528353
172,Truman_1947,collective bargaining,0.2534249903048774
173,Eisenhower_1954,federal government,0.2532390692362902
174,Polk_1846,rio grande,0.2531018784566916
175,Roosevelt_1935,national resource,0.2525084530854101
176,Ford_1976,growth federal,0.2523802101787842
177,Roosevelt_1903,isthmus panama,0.25226253297222
178,Madison_1812,sea men,0.25171590685110967
179,Trump_2020,year old,0.25146857849660437
180,Carter_1978,human right,0.25130681592307635
181,Trump_2019,southern border,0.2512434594354902
182,Pierce_1855,central america,0.25020546706063646
183,Johnson_1968,shall recommend,0.2499331050860504
184,Wilson_1915,twenty five,0.2496131835483503
185,Cleveland_1888,per cent,0.24768182234319466
186,Bush_2004,health care,0.2476585209245129
187,Ford_1977,long term,0.24592611774418935
188,Harding_1922,per cent,0.24514192323734063
189,Buchanan_1859,30th june,0.24464538384928614
190,Carter_1980,middle east,0.24432405867789728
191,McKinley_1900,philippine island,0.24407969833691348
192,Jefferson_1806,private individual,0.24401099423252287
193,Wilson_1915,one hundred,0.24384435856852468
194,Carter_1979,soviet union,0.24337961523041376
195,Kennedy_1962,balance payment,0.24327430599018213
196,Eisenhower_1958,military strength,0.24325109278987656
197,Bush_1990,every one,0.24290408691979615
198,Roosevelt_1943,world war,0.24253300901783947
199,Obama_2013,middle class,0.2420778354136587
200,Bush_1990,one u,0.24148163135955716
201,Roosevelt_1945,armed force,0.241406288379551
202,Truman_1951,north atlantic,0.24116017280287722
203,Clinton_1997,four year,0.24114680410005815
204,Arthur_1883,actual estimated,0.24059818616697706
205,Trump_2018,tax cut,0.24001404077768754
206,Clinton_2000,21st century,0.23980865874725565
207,Carter_1980,persian gulf,0.23968501409793497
208,Bush_1992,hard time,0.2392317375280852
209,Wilson_1917,people world,0.23910687988526078
210,Jefferson_1806,sea port,0.2390917847016659
211,Truman_1951,free world,0.23860649426550903
212,Madison_1814,major general,0.23838083825015616
213,Roosevelt_1944,win war,0.23820364606359237
214,Hayes_1880,civil service,0.23807731279694525
215,Washington_1796,catholic majesty,0.23806660984342612
216,Tyler_1843,treasury note,0.23783756762147515
217,Obama_2015,middle class,0.23762290442937029
218,Bush_1991,hard work,0.23720792177806893
219,Clinton_1997,balance budget,0.23718994139733232
220,Monroe_1819,government spain,0.2363930681302871
221,Roosevelt_1941,national policy,0.23597131240241873
222,Taft_1912,panama canal,0.23569479999684845
223,Washington_1790,great satisfaction,0.2356121620865152
224,Wilson_1914,great people,0.2355240831971087
225,Obama_2015,hard time,0.23528054911058632
226,Ford_1977,third century,0.23527990716063915
227,Harding_1922,working condition,0.23514744556940007
228,Obama_2010,recovery act,0.23502396593047065
229,Clinton_1997,21st century,0.23473526811405598
230,Nixon_1972,let u,0.23455335075335654
231,Nixon_1970,clean water,0.23447710796567414
232,Harrison_1892,increase per,0.234342079080805
233,Jefferson_1807,armed vessel,0.23429939854025206
234,Cleveland_1893,preceding year,0.23413966785839452
235,Cleveland_1888,purchase bond,0.23372602061238257
236,Bush_2005,social security benefit,0.23341272812827102
237,Cleveland_1895,note treasury note,0.23335824979963662
238,Cleveland_1895,state note treasury,0.23335824979963662
239,Johnson_1967,let u,0.2333020385984119
240,Nixon_1971,full employment,0.23327502358319244
241,Washington_1795,course session,0.23285494380681815
242,Truman_1946,million dollar fiscal,0.2323267871275224
243,Buchanan_1857,republic honduras,0.23160559897682062
244,Bush_2002,homeland security,0.23154763456623523
245,Bush_2002,war terror,0.23154763456623523
246,Jefferson_1802,million principal,0.23142246407020534
247,Jefferson_1802,country men,0.23142246407020534
248,Roosevelt_1936,national income,0.23122764720713387
249,Polk_1845,public money,0.2307486515460728
250,Johnson_1867,southern state,0.23015894181207155
251,Jackson_1832,general government,0.2295247371624204
252,Reagan_1985,tax rate,0.22940260128285653
253,Adams_1797,gentleman house,0.22925705587154896
254,Adams_1797,gentleman house representative,0.22925705587154896
255,Madison_1814,thousand american,0.22912574193900048
256,Roosevelt_1940,must look,0.2288241740800986
257,Carter_1979,nuclear arm,0.22862759394844465
258,Reagan_1982,interest rate,0.22840229837382964
259,Nixon_1970,primary responsibility,0.2281658224051086
260,Obama_2009,care reform,0.2277752395226111
261,Obama_2009,health care reform,0.2277752395226111
262,Ford_1976,state local,0.22774703528346657
263,Carter_1979,year must,0.2274149488396114
264,Carter_1978,foreign policy,0.22738071248239164
265,Jefferson_1808,right interest,0.22719354382505214
266,Taft_1909,postal saving bank,0.22716994032935414
267,Bush_2005,security benefit,0.22713009186808733
268,Madison_1809,order council,0.2271050836894033
269,Jefferson_1802,direct tax,0.22675703661891705
270,Roosevelt_1941,new order,0.22499253886342235
271,Madison_1814,private property,0.22498345939369827
272,Coolidge_1924,cost government,0.2246388706200004
273,Bush_1992,let tell,0.22447420084891706
274,Adams_1798,disposition part,0.22427596001748695
275,Adams_1798,gentleman house representative,0.22427596001748695
276,Adams_1798,gentleman house,0.22427596001748695
277,Madison_1815,peace establishment,0.2242705950368389
278,Truman_1951,defense effort,0.22423399660269572
279,Bush_1989,economic growth,0.2230986306149962
280,Biden_2022,cut cost,0.22289257132392734
281,Biden_2022,tonight announcing,0.22289257132392734
282,Clinton_2000,tax credit,0.22267457042664582
283,Carter_1979,human right,0.22227143953379447
284,Wilson_1914,water power,0.22152518967749263
285,Roosevelt_1944,soldier sailor,0.2212478187456711
286,Cleveland_1887,purchase bond,0.22121626959362892
287,Harrison_1892,value import,0.2203968741742743
288,Johnson_1967,soviet union,0.22000899527541234
289,Adams_1799,commissioner appointed,0.21943453729152648
290,Arthur_1882,five twenty,0.21920209375817473
291,Polk_1848,new mexico,0.21915554300458948
292,Cleveland_1894,per cent,0.2191331528258802
293,Harding_1921,branch government,0.21890903852502314
294,Trump_2020,unemployment rate,0.21889324293232987
295,Johnson_1968,tax bill,0.21884577736691976
296,Bush_1992,real estate,0.21843215779051897
297,Bush_1992,capital gain,0.21843215779051897
298,Buchanan_1859,ending 30th june,0.2184123087491109
299,Kennedy_1963,cannot afford,0.21825441963079897
300,Cleveland_1893,fiscal year,0.2182175554477016
301,Obama_2016,new economy,0.21765503484598467
302,Truman_1948,economic system,0.21765372160750182
303,Bush_1990,eastern europe,0.21724045524487595
304,Johnson_1969,meet commitment,0.21715553217649083
305,Roosevelt_1934,recovery act,0.21711814877266508
306,Harrison_1892,increase per cent,0.21696060712283363
307,Biden_2022,thank thank,0.21689310007848722
308,Reagan_1984,help u,0.21677003684865437
309,Buren_1838,court district,0.21621078951652328
310,Biden_2023,came together,0.2159306026929512
311,Eisenhower_1955,free nation,0.21587030891289344
312,Jefferson_1803,new orleans,0.21563158542597669
313,Wilson_1916,body men,0.21559717623021032
314,Kennedy_1963,free world,0.2155358190567956
315,Carter_1978,rate inflation,0.21541106371204136
316,Hoover_1932,social economic,0.215387188941698
317,Hoover_1930,fiscal year,0.2151172410797825
318,Bush_2002,weapon mass destruction,0.21469680334070554
319,Bush_2002,weapon mass,0.21469680334070554
320,Obama_2011,democrat republican,0.2144237210413998
321,Roosevelt_1904,wage worker,0.2143972584164785
322,Buren_1837,new state,0.21421657275662553
323,Eisenhower_1959,price stability,0.21392851476696814
324,Reagan_1982,state local,0.21374894256422705
325,Reagan_1986,family community,0.213408472964805
326,Taft_1909,postal saving,0.2131564621786079
327,Trump_2018,asking congress,0.21279447219871664
328,Reagan_1985,let u,0.21264513150856298
329,Monroe_1817,lake erie,0.21261359874924626
330,Truman_1953,world war,0.2118141403437963
331,Truman_1952,world war,0.21149824504241047
332,Washington_1792,service ensuing year,0.21127403561908575
333,Pierce_1855,municipal law,0.21123205308882423
334,Jefferson_1802,one american,0.211120806865727
335,Roosevelt_1903,across isthmus,0.2109783691271709
336,Obama_2009,every american,0.21087129684555525
337,Cleveland_1896,per cent,0.21082737772124405
338,Jackson_1833,discriminating duty,0.21070510308137408
339,Eisenhower_1958,defense effort,0.21070128372220584
340,Reagan_1983,arm reduction,0.21042328599302346
341,Cleveland_1894,fiscal year,0.21040448135732026
342,Bush_2004,law enforcement,0.21031164014588863
343,Obama_2015,make sure,0.21029305971004056
344,Reagan_1982,federal grant,0.2101522379285582
345,Bush_2002,mass destruction,0.21009263675360582
346,Jackson_1834,french government,0.21005035572617967
347,Polk_1846,people texas,0.20986753902198177
348,Monroe_1821,revenue law,0.2097424522565002
349,Lincoln_1863,naval service,0.20957244504946637
350,Buchanan_1857,circulation deposit,0.20914210418869533
351,Hoover_1929,per cent,0.20876989240686325
352,Buchanan_1859,african slave,0.20860566352350762
353,Johnson_1866,senator representative,0.20854623369080838
354,Buren_1837,public money,0.2084087164697746
355,Monroe_1824,late war,0.20796484685082514
356,Truman_1951,soviet union,0.20773713107657082
357,Bush_2006,math science,0.20755863451506215
358,Polk_1846,war mexico,0.2074426222494676
